ST_CASE;DAY;HOUR;MINUTE;RUR_URB;DAY_WEEK;FATALS;DRUNK_DR
10650;12;1;40;8;7;1;1
10651;10;20;33;8;5;1;0
10652;6;19;39;8;1;1;0
10658;1;19;47;8;3;1;0
10659;3;1;20;8;5;1;0
10660;4;5;0;8;6;1;1
10661;4;17;39;8;6;1;0
10662;5;18;10;8;7;1;0
10663;5;23;0;8;7;1;0
10664;5;17;20;8;7;1;0
10665;6;2;10;8;1;1;1
10666;7;5;45;8;2;1;0
10667;7;18;28;8;2;1;0
10668;8;7;5;8;3;1;0
10669;9;6;8;8;4;1;0
10670;10;22;47;8;5;1;0
10671;12;15;41;8;7;1;1
10672;13;6;10;8;1;1;0
10673;9;0;53;8;4;1;1
10674;19;23;42;8;7;1;0
10675;9;17;22;8;4;1;0
10676;13;10;24;8;1;1;0
10677;15;14;58;8;3;1;0
10678;15;18;30;8;3;2;1
10679;17;10;0;8;5;1;0
10680;16;13;15;8;4;1;0
10681;18;21;24;8;6;1;0
10682;19;21;57;8;7;1;0
10683;20;16;37;8;1;1;0
10685;26;7;10;8;7;1;0
10686;5;10;35;8;7;1;1
10687;17;21;15;8;5;1;0
10688;17;5;45;8;5;1;0
10689;18;9;45;8;6;1;0
10690;16;17;20;8;4;1;0
10691;20;14;40;8;1;1;0
10692;20;1;19;8;1;1;0
10693;20;1;17;8;1;1;0
10694;21;16;20;8;2;1;0
10695;22;17;55;8;3;1;0
10696;23;3;10;8;4;1;1
10697;23;10;22;8;4;1;0
10698;25;18;27;8;6;1;0
10699;29;4;30;8;3;1;0
10701;16;7;40;8;4;3;0
10702;17;21;53;8;5;1;0
10703;19;11;8;8;7;1;0
10704;24;17;50;8;5;2;1
10705;27;12;46;8;1;1;0
10706;28;2;14;8;2;1;1
10707;29;7;24;8;3;1;0
10708;30;18;15;8;4;1;0
10709;29;7;45;8;3;1;0
10749;9;0;50;1;4;1;0
10764;30;4;37;1;4;1;0
10765;30;4;43;1;4;1;0
10766;25;20;0;1;6;1;0
10771;2;8;0;1;4;1;0
10772;6;9;20;1;1;1;0
10773;7;5;5;1;2;1;0
10774;11;1;15;1;6;1;1
10775;20;9;25;1;1;1;0
10776;21;16;45;1;2;1;0
10777;26;17;30;1;7;3;0
10778;30;10;25;2;4;1;0
10779;11;15;45;1;6;1;0
10780;11;23;40;1;6;1;1
10781;12;2;20;1;7;1;1
10782;19;7;30;1;7;1;0
10783;19;18;30;1;7;1;0
10784;25;2;0;1;6;3;1
20055;1;20;55;1;3;3;0
20056;5;99;99;1;7;1;1
20057;22;17;23;1;3;1;0
20058;24;17;6;2;5;1;0
20060;29;21;23;1;3;1;1
40758;2;7;29;2;4;1;0
40759;6;12;30;1;1;1;0
40760;6;16;57;1;1;2;1
40761;6;18;0;2;1;1;0
40762;8;18;59;1;3;1;0
40763;8;19;9;1;3;1;0
40764;9;17;19;2;4;1;0
40765;9;17;21;2;4;1;0
40766;10;10;46;2;5;1;0
