ST_CASE;PER_NO;AGE;SEX;PER_TYP;DOA
10650;1;29;1;1;7
10650;2;31;1;2;0
10650;1;49;1;1;0
10650;1;63;1;1;0
10651;1;52;1;1;7
10651;1;59;1;1;0
10651;2;21;1;2;0
10652;1;67;2;1;7
10652;2;27;2;2;0
10658;1;57;1;1;7
10659;1;64;1;1;7
10660;1;20;1;1;7
10661;1;42;1;5;7
10661;1;58;2;1;0
10662;1;65;1;5;0
10662;1;27;2;1;0
10663;1;45;1;1;7
10663;1;37;1;1;0
10664;1;82;2;1;0
10664;1;49;1;1;0
10664;2;49;1;2;0
10665;1;24;1;1;0
10665;2;26;1;2;0
10666;1;40;1;1;7
10667;1;24;2;1;7
10668;1;50;1;1;7
10668;1;60;1;1;0
10669;1;46;2;5;0
10669;2;40;2;5;0
10669;1;59;1;1;0
10670;1;44;1;5;7
10670;1;20;1;1;0
10670;2;21;1;2;0
10671;1;42;2;1;7
10672;1;37;1;1;0
10672;2;33;1;2;0
10672;1;49;1;1;0
10673;1;42;1;1;7
10673;1;42;1;1;0
10674;1;55;1;5;7
10674;1;32;1;1;0
10674;2;23;2;2;0
10674;3;2;2;2;0
10674;4;24;2;2;0
10674;5;3;1;2;0
10674;6;4;1;2;0
10675;1;27;1;1;0
10675;1;81;2;1;7
10676;1;64;1;1;7
10677;1;32;2;1;7
10677;1;46;1;1;0
10678;1;68;1;1;7
10678;2;37;1;2;7
10679;1;66;2;1;7
10680;1;68;2;1;0
10680;2;55;2;2;0
10680;1;74;1;1;0
10680;2;74;2;2;0
10681;1;50;1;1;7
10681;1;52;1;1;0
10681;2;998;2;2;0
10682;1;34;1;1;7
10683;1;20;1;1;0
10683;1;53;2;1;0
10685;1;36;1;1;7
10686;1;23;1;1;7
10686;2;25;2;2;0
10686;1;60;2;1;0
10687;1;16;1;1;0
10687;2;18;2;2;7
10688;1;69;1;1;7
10688;1;21;1;1;0
10689;1;29;1;1;0
10690;1;57;1;1;7
10690;1;50;2;1;0
10690;2;8;2;2;0
10691;1;16;1;1;7
10691;2;16;2;2;0
10691;1;35;1;1;0
10692;1;56;1;1;7
10693;1;29;1;1;7
10694;1;25;1;1;0
10695;1;60;2;1;7
10695;1;26;1;1;0
10696;1;38;1;1;7
10697;1;73;1;1;0
10697;1;54;1;1;0
10698;1;62;1;1;7
10698;1;49;1;1;0
10699;1;18;2;1;7
10701;1;29;2;1;7
10701;2;10;1;2;7
10701;3;1;2;2;7
10701;1;41;2;1;0
10701;2;5;1;2;0
10702;1;70;1;5;7
10702;1;57;1;1;0
10703;1;74;1;1;0
10703;1;29;2;1;0
10703;1;47;1;1;0
10704;1;23;1;1;0
10704;1;44;1;1;0
10704;1;61;1;1;7
10704;1;36;2;1;0
10704;2;39;1;2;0
10704;3;9;1;2;0
10704;4;15;1;2;0
10705;1;53;1;1;0
10706;1;24;2;1;0
10706;2;20;1;2;0
10707;1;40;1;1;7
10707;1;57;1;1;0
10708;1;42;1;5;7
10708;1;999;9;1;0
10709;1;19;2;1;7
10749;1;68;1;1;7
10764;1;50;1;1;7
10765;1;17;1;1;7
10766;1;33;1;5;0
10766;1;28;2;1;0
10771;1;69;1;1;0
10772;1;16;2;1;0
10772;2;14;2;2;0
10772;3;15;1;2;0
10772;4;15;2;2;7
10772;5;18;1;2;0
10773;1;37;1;1;7
10773;1;20;1;1;0
10774;1;33;1;1;7
10775;1;36;1;1;0
10776;1;70;2;1;7
10776;1;54;1;1;0
10777;1;30;2;5;0
10777;2;3;1;5;0
10777;3;22;2;5;0
10777;4;46;2;5;0
10777;5;9;2;5;0
10777;6;7;1;5;0
10777;7;6;1;5;0
10777;8;25;2;5;0
10777;9;22;2;5;0
10777;10;23;1;5;0
10777;11;25;2;5;0
10777;1;27;1;1;0
10777;1;22;1;1;0
10778;1;81;1;1;7
10778;2;68;2;2;0
10778;1;60;1;1;0
10779;1;34;2;1;0
10779;1;26;1;1;0
10779;2;38;2;2;7
10779;3;9;1;2;0
10779;4;11;2;2;0
10780;1;25;1;1;0
10780;2;17;1;2;0
10780;3;30;2;2;0
10781;1;23;1;1;0
10781;2;20;1;2;0
10781;3;18;1;2;7
10782;1;31;1;1;0
10782;2;25;2;2;7
10783;1;37;1;5;7
10783;1;61;2;1;0
10784;1;33;1;1;0
10784;2;40;2;2;7
10784;3;5;2;2;7
10784;4;7;2;2;7
10784;5;9;1;2;0
20055;1;25;2;1;7
20055;1;33;1;1;0
20055;2;53;2;2;7
20055;3;9;2;2;7
20056;1;32;1;5;7
20056;1;25;1;1;0
20057;1;84;2;5;7
20057;1;25;1;1;0
20058;1;43;1;5;0
20058;1;28;2;1;0
20060;1;31;2;1;7
20060;1;39;1;1;0
40758;1;83;2;1;0
40758;1;17;2;1;0
40759;1;74;1;1;0
40759;1;56;1;1;0
40759;1;68;1;1;0
40760;1;56;1;1;7
40760;2;50;2;2;7
40761;1;58;2;5;7
40761;1;58;1;1;0
40761;1;49;1;1;0
40761;2;48;2;2;0
40761;1;38;1;1;0
40761;2;28;2;2;0
40761;1;29;2;1;0
40761;2;0;2;2;0
40761;1;35;1;1;0
40761;2;34;2;2;0
40761;1;38;1;1;0
40761;2;33;2;2;0
40761;3;28;1;2;0
40761;4;2;1;2;0
40762;1;27;1;1;7
40763;1;31;1;5;7
40763;1;42;2;1;0
40763;2;43;1;2;0
40764;1;33;1;1;0
40765;1;83;2;5;0
40765;1;37;1;1;0
40766;1;85;2;5;7
40766;1;72;2;1;0
40766;2;17;1;2;0
40767;1;82;2;1;0
40767;2;8;1;2;0
40767;3;6;1;2;0
40767;1;32;1;1;0
40768;1;16;1;1;0
40768;2;13;1;2;0
40768;3;5;1;2;0
40768;1;56;2;1;7
40768;2;25;2;2;0
40768;3;4;2;2;0
40768;4;1;2;2;0
40769;1;82;1;1;7
40769;1;52;1;1;0
40770;1;41;2;5;0
40770;1;80;1;1;0
40770;2;73;2;2;0
40771;1;33;2;1;0
40771;2;41;2;2;0
40771;3;52;2;2;0
40771;1;40;1;1;0
40771;1;43;2;1;0
40772;1;49;1;1;0
40773;1;52;1;1;0
40773;1;71;1;1;0
40774;1;47;2;1;0
40775;1;65;2;1;0
40775;2;33;2;2;0
