ST_CASE;VEH_NO;HIT_RUN;TRAV_SP;PREV_SP
10650;1;0;999;0
10650;2;0;65;0
10650;3;0;70;0
10651;1;0;100;0
10651;2;0;65;0
10652;1;0;70;0
10658;1;0;999;0
10659;1;0;999;1
10660;1;0;70;1
10661;1;0;30;0
10662;1;0;25;1
10663;1;0;15;1
10663;2;0;40;0
10664;1;0;999;0
10664;2;0;55;0
10665;1;0;90;0
10666;1;0;75;3
10667;1;0;999;0
10668;1;0;55;1
10668;2;0;45;0
10669;1;0;26;0
10670;1;0;45;0
10671;1;0;70;2
10672;1;0;55;0
10672;2;0;55;0
10673;1;0;999;1
10673;2;0;999;0
10674;1;0;75;0
10675;1;0;0;0
10675;2;0;999;0
10676;1;0;999;0
10677;1;0;65;0
10677;2;0;60;0
10678;1;0;70;1
10679;1;0;62;0
10680;1;0;999;0
10680;2;0;999;0
10681;1;0;0;1
10681;2;0;65;0
10682;1;0;90;0
10683;1;0;999;1
10683;2;0;999;4
10685;1;0;60;1
10686;1;0;55;3
10686;2;0;45;0
10687;1;0;80;0
10688;1;0;20;0
10688;2;0;50;1
10689;1;0;45;3
10690;1;0;20;0
10690;2;0;55;1
10691;1;0;50;0
10691;2;0;50;3
10692;1;0;65;0
10693;1;0;25;2
10694;1;0;999;0
10695;1;0;30;1
10695;2;0;55;1
10696;1;0;999;2
10697;1;0;999;0
10697;2;0;999;0
10698;1;0;50;0
10698;2;0;50;0
10699;1;0;55;1
10701;1;0;55;0
10701;2;0;55;0
10702;1;0;999;0
10703;1;0;999;0
10703;2;0;999;0
10703;3;0;0;1
10704;1;0;65;3
10704;2;0;65;0
10704;3;0;60;0
10704;4;0;60;5
10705;1;0;80;1
10706;1;0;999;0
10707;1;0;999;0
10707;2;0;999;0
10708;1;1;999;99
10709;1;0;999;0
10749;1;0;70;0
10764;1;0;65;0
10765;1;0;85;2
10766;1;1;999;0
10771;1;0;53;0
10772;1;0;66;0
10773;1;0;55;0
10773;2;0;55;1
10774;1;0;60;0
10775;1;0;55;0
10776;1;0;30;0
10776;2;0;5;0
10777;1;1;85;2
10777;2;1;80;2
10778;1;0;5;0
10778;2;0;60;0
10779;1;0;35;1
10779;2;0;45;0
10780;1;0;60;0
10781;1;0;60;0
10782;1;0;55;0
10783;1;0;55;0
10784;1;0;45;0
20055;1;0;998;0
20055;2;0;998;0
20056;1;0;998;0
20057;1;0;998;0
20058;1;0;998;0
20060;1;0;998;1
20060;2;0;998;0
40758;1;0;998;0
40758;2;0;45;0
40759;1;0;45;0
40759;2;0;998;0
40759;3;0;55;0
40760;1;0;40;1
40761;1;0;68;3
40761;2;0;60;2
40761;3;0;65;1
40761;4;0;65;0
40761;5;0;65;0
40761;6;0;60;0
40762;1;0;998;0
40763;1;0;998;0
40764;1;0;60;0
40765;1;0;40;0
40766;1;0;40;0
40767;1;0;10;0
40767;2;0;45;0
40768;1;0;65;0
40768;2;0;65;0
40769;1;0;5;99
40769;2;0;63;0
40770;1;0;40;0
40771;1;0;65;0
